The SAS System                                                                     17:18 Saturday, December 27, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
hi_asian_yrs2     1088454      34.7028030     735.8419141               0         4900.00
mid_asian_yrs2    1088454      34.7452932     737.8739100               0         4900.00
mex_yrs2          1088454      91.7636881         1199.69               0         4900.00
imm_ed            1088454      11.6416252      21.0745398               0      20.0000000
imm_coll          1088454       0.2375088       1.9826792               0       1.0000000
asian             1088454       0.2333403       1.9705677               0       1.0000000
asian_ed          1088454       3.2059271      28.5353786               0      20.0000000
black_ed          1088454       0.8207243      15.1108975               0      20.0000000
asian_coll        1088454       0.1046666       1.4262370               0       1.0000000
black_coll        1088454       0.0146139       0.5590906               0       1.0000000
hisp_ed           1088454       4.4664085      26.0875554               0      20.0000000
hisp_coll         1088454       0.0352652       0.8593542               0       1.0000000
p1                1088454       0.1129637       0.4375590     0.000612652       0.6675240
p2                1088454       0.1093765       0.3007078       0.0017073       0.2315477
p3                1088454       0.1006079       0.2133061       0.0032636       0.1591841
p4                1088454       0.1066031       0.1613096       0.0071276       0.1439071
p5                1088454       0.1015543       0.1213392       0.0127150       0.1332594
p6                1088454       0.0943497       0.1050222       0.0207191       0.1217200
p7                1088454       0.1049670       0.1616022       0.0139095       0.1489274
p8                1088454       0.0927907       0.2286804       0.0062203       0.1707784
p9                1088454       0.0869579       0.3157500       0.0021461       0.2328081
p10               1088454       0.0898293       0.4829805     0.000334980       0.6042732
rmsa              1088454         4141.65        12264.57               0         9320.00
dev                752024      -0.0964578       3.4026858      -1.2616779       2.9380272
devsq              752024       0.5411653       4.1789599    2.002909E-10       8.6320039
nonmover          1088454               0               0               0               0
-----------------------------------------------------------------------------------------
